prompt,response
What happens if a device doesn't have a default gateway configured?,It can only communicate with other devices within its local subnet.
What is the maximum Transmission Unit (MTU) for Ethernet in IPv4?,1500 bytes.
What is IP fragmentation?,The process of breaking a large IP packet into smaller pieces (fragments) when it needs to traverse a network link with a smaller MTU.
What is the 'Don't Fragment' (DF) bit in the IPv4 header?,"A flag that, if set, prevents fragmentation. If a packet with the DF bit set encounters a smaller MTU, it will be dropped instead of fragmented."
What is the Time To Live (TTL) field in the IPv4 header?,"A field that indicates the maximum number of hops a packet can traverse before being discarded, preventing infinite loops."
What protocol number is used for ICMP in the IPv4 header?,Protocol number 1.
What protocol number is used for TCP in the IPv4 header?,Protocol number 6.
What protocol number is used for UDP in the IPv4 header?,Protocol number 17.
What is the Checksum field in the IPv4 header used for?,To detect errors in the IP header itself.
What is the Source IP address field in the IPv4 header?,The IPv4 address of the sender of the packet.
What is the Destination IP address field in the IPv4 header?,The IPv4 address of the intended recipient of the packet.
What is ARP (Address Resolution Protocol)?,A protocol used to resolve an IP address to a MAC address (Layer 2 physical address) within the same local network.
Why is ARP necessary for IPv4?,"Because IP addresses operate at Layer 3, but data frames at Layer 2 need MAC addresses for actual delivery on a local segment."
What are the two main methods for assigning IPv4 addresses to devices?,Static IP assignment and Dynamic IP assignment (via DHCP).
What is DHCP (Dynamic Host Configuration Protocol)?,A network protocol that dynamically assigns IP addresses and other network configuration parameters to devices connected to a network.
What is the main advantage of DHCP?,"Simplifies network administration, reduces configuration errors, and allows for efficient reuse of IP addresses."
What is a broadcast address in IPv4?,An address used to send a packet to all hosts on a specific network segment.
What is a multicast address in IPv4?,An address used to send a packet to a group of selected hosts simultaneously.
What is the IPv4 multicast address range (Class D)?,224.0.0.0 to 239.255.255.255.
What is the difference between direct and indirect delivery in IPv4 routing?,"Direct delivery means the destination host is on the same local network. Indirect delivery means the destination is on a remote network, requiring a router."
What is a routing table?,"A table stored on a router or host that contains information about network destinations and how to reach them (next-hop, interface)."
What is the `ping` command used for in IPv4?,To test IP connectivity to a remote host and measure round-trip time.
What is the `traceroute` (or `tracert`) command used for in IPv4?,"To trace the path that an IP packet takes to reach a destination, identifying routers along the way."
How does `traceroute` work using TTL?,It sends packets with increasing TTL values and uses ICMP Time Exceeded messages to identify each hop.
What is the main reason for the transition from IPv4 to IPv6?,IPv4 address exhaustion (running out of unique public IP addresses).
Can IPv4 and IPv6 coexist on the same network?,"Yes, through techniques like dual-stack, tunneling, and translation."
What is `subnetting` in IPv4?,"The process of dividing a larger network into smaller, more manageable subnetworks."
What are the benefits of subnetting?,"Reduces network broadcast traffic, improves security, and optimizes IP address usage."
What is a supernet (or route summarization)?,"Combining multiple smaller networks into a single, larger network advertisement to reduce routing table size."
What is an IP packet?,"The basic unit of data transferred over an IP network, consisting of an IP header and a payload (data)."
What is the minimum size of an IPv4 header?,20 bytes.
What is the maximum size of an IPv4 header?,60 bytes (due to the Options field).
